housing_type,region,parcel_ct,du_est_final,dps_2324_all,dps_2223_all,dps_2122_all,dps_2021_all,dps_avg_all,dps_2324_k12,dps_2223_k12,dps_2122_k12,dps_2021_k12,dps_avg_k12,charter_2324_k12,charter_2223_k12,charter_avg_k12,stu_2324_all,stu_2223_all,stu_avg_all,stu_2324_k12,stu_2223_k12,stu_avg_k12,sgr_dps_avg_all,sgr_dps_2324_all,sgr_dps_avg_k12,sgr_dps_2324_k12,sgr_char_avg_k12,sgr_char_2324_k12,sgr_stu_avg_all,sgr_stu_2324_all,sgr_stu_avg_k12,sgr_stu_2324_k12,sgr_dps_avg_k12_es,sgr_dps_avg_k12_ms,sgr_dps_avg_k12_hs,sgr_stu_avg_k12_es,sgr_stu_avg_k12_ms,sgr_stu_avg_k12_hs
condo,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non-res,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
sf_attach,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sf_detach,,22,22,1,0,0,1,0.5,1,0,0,1,0.5,0,1,0.5,1,1,1,1,1,1,0.022727273,0.045454547,0.022727273,0.045454547,0.022727273,0,0.045454547,0.045454547,0.045454547,0.045454547,0.011363637,0.004545455,0.006818182,0.022727273,0.00909091,0.013636364
age_restrict,Central,6,162,0,1,3,3,1.75,0,1,3,3,1.75,0,0,0,0,1,0.5,0,1,0.5,0.010802469,0,0.010802469,0,0,0,0.00308642,0,0.00308642,0,0.005401235,0.002160494,0.003240741,0.00154321,0.000617284,0.000925926
condo,Central,51,812,17,20,20,24,20.25,15,19,20,23,19.25,7,4,5.5,24,24,24,22,23,22.5,0.024938423,0.02093596,0.023706896,0.018472906,0.006773399,0.00862069,0.029556651,0.029556651,0.027709359,0.027093597,0.011853448,0.004741379,0.007112069,0.01385468,0.005541872,0.008312807
du_tri,Central,1289,2731,546,590,628,677,610.25,529,576,628,651,596,162,158,160,708,748,728,691,734,712.5,0.223452941,0.199926764,0.218235075,0.193701938,0.058586597,0.05931893,0.266569018,0.259245694,0.260893434,0.253020883,0.109117538,0.043647014,0.065470524,0.130446717,0.052178688,0.078268029
hud,Central,36,306,75,53,72,88,72,72,52,72,85,70.25,20,30,25,95,83,89,92,82,87,0.235294119,0.24509804,0.229575157,0.235294119,0.081699349,0.065359481,0.290849686,0.310457528,0.284313738,0.300653607,0.114787579,0.04591503,0.068872549,0.142156869,0.056862749,0.08529412
manuf,Central,5,12,5,8,4,5,5.5,5,8,4,5,5.5,1,1,1,6,9,7.5,6,9,7.5,0.458333343,0.416666657,0.458333343,0.416666657,0.083333336,0.083333336,0.625,0.5,0.625,0.5,0.229166672,0.091666669,0.137500003,0.3125,0.125,0.1875
mf_apt,Central,316,7671,1226,1285,1307,1339,1289.25,1194,1251,1307,1300,1263,320,332,326,1546,1617,1581.5,1514,1583,1548.5,0.168068051,0.159822702,0.164646074,0.155651152,0.042497717,0.041715551,0.206166074,0.201538265,0.201864168,0.1973667,0.082323037,0.032929216,0.049393822,0.100932084,0.040372834,0.06055925
non-res,Central,3507,0,45,43,37,44,42.25,44,41,37,44,41.5,6,6,6,51,49,50,50,47,48.5,,,,,,,,,,,,,,,,
sf_attach,Central,197,197,6,5,7,10,7,6,5,7,8,6.5,1,2,1.5,7,7,7,7,7,7,0.035532996,0.030456852,0.032994922,0.030456852,0.007614213,0.005076142,0.035532996,0.035532996,0.035532996,0.035532996,0.016497461,0.006598984,0.009898476,0.017766498,0.007106599,0.010659899
sf_detach,Central,8974,8977,2386,2387,2390,2502,2416.25,2305,2310,2390,2410,2353.75,657,649,653,3043,3036,3039.5,2962,2959,2960.5,0.269160062,0.265790343,0.262197852,0.256767303,0.072741449,0.073187031,0.338587493,0.338977396,0.329787225,0.329954326,0.131098926,0.05243957,0.078659356,0.164893612,0.065957442,0.09893617
temp,Central,102,774,82,46,29,45,50.5,81,45,29,36,47.75,1,2,1.5,83,48,65.5,82,47,64.5,0.065245479,0.105943151,0.061692506,0.104651161,0.001937984,0.00129199,0.084625326,0.107235141,0.083333336,0.105943151,0.030846253,0.012338501,0.018507753,0.041666668,0.016666668,0.025
age_restrict,East,5,146,5,6,6,6,5.75,3,5,6,6,5,0,0,0,5,6,5.5,3,5,4,0.03938356,0.034246575,0.034246575,0.020547945,0,0,0.037671234,0.034246575,0.02739726,0.020547945,0.017123288,0.006849315,0.010273973,0.01369863,0.005479452,0.008219178
