REID,Case_Number,project_name,description,sf_detached,sf_attached,duplex/triplex,multifamily,condo
194962,D2400112,Wildlife Trail Conservation Subdivision,Subdividing property for 19 single family lots that will be septic and well lots. Construction of main access drive.,19,0,0,0,0
101917,D2400201,Trinity Park Townhomes,20 townhomes with ADU's and a commercial parking lot to serve the adjacent hotel.,0,20,0,0,0
119424,D2400289,Tribute Rising,Proposed 4 Multifamily apartment buildings (348 units) and 16 live work townhome units with supplemental retail.,0,16,0,352,0
208035,D2400084,Tocqueville Townes,"22 proposed townhome units, playground, trail, and two bio-retention ponds.",0,22,0,0,0
220826,D2500026,Smallwood,"52 townhomes with associated streets, sidewalks, grading, water, sewer, stormwater management and landscaping.",0,52,0,0,0
239750,D2300170,Sandy Ridge,197 units of affordable apartments and accessory uses.,0,0,0,197,0
236702,D2400151,Russell Road Subdivision,Subdividing property for 9 single-family lots that will be served by septic and well. Construction of main access drive. _x000D_,9,0,0,0,0
231009,D2400150,RTP Block H1,"Development of multi-story apartment building (226 units), wrapped around a parking deck for the building and related infrastructure._x000D_",0,0,0,226,0
240503,D2500038,Page Corners,160 unit affordable apartment.,0,0,0,160,0
236597,D2400291,Oakridge Residential Phase C,181 Multi-family units with surface parking.,0,0,0,181,0
241475,D2300103,NOVEL UHill,multifamily building with added 19 townhomes,0,0,0,19,0
203900,D2400268,Miami Blvd Multifamily,"4-Multifamily apartment buildings (270 units), clubhouse, amenity area and related infrastructure.",0,0,0,274,0
141587,D2500072,Leigh Valley,Apartment development to include 324 units.,0,0,0,324,0
157898,D2400050,Hopson Road Multi-Family,"Construction of 399 multi-family units with associated amenities and infrastructure totaling in 498,495 SF.",0,0,0,399,0
166325,D2400233,Greenleaf Townes,"100 townhomes with public water and sewer, private roads, and associated infrastructure.",0,100,0,0,0
158335,D2400176,Fox Crossing II,320 apartment units with 4800 sq ft of commercial space,0,0,0,320,0
150700,D2500103,Fayetteville Road MultiFamily,Phase one of overall development - single family detached lots and townhomes (88 units).,88,0,0,0,0
119252,D2400205,Fayette Place Ph 1,252 affordable unit apartment complex.,0,0,0,252,0
140215,1CH2425,East Lakeview,For-sale townhome development containing 86 dwelling units,0,86,0,0,0
232708,D2400116,East Geer St Apartments,66 apartment units with clubhouse.,0,0,0,66,0
172371,D2400193,Durham Summit,312 multi-family apartment units with surface parking.,0,0,0,312,0
193358,D2400160,Doc Nichols Towns,21 Townhome community.,0,21,0,0,0
239919,D2400270,Dillard St Apartments (Ph 4BC),"2-4 story, residential buildings with 98 affordable apartment units and accessories, 1 with retail space, and surface parking.",0,0,0,98,0
173145,D2400280,Croasdaile Village Phase IV,Construction of 21 cottages and 4 multifamily buildings.,0,0,0,21,0
124033,D2400123,Cresta Cottages,22 small lot single family residential development.,22,0,0,0,0
141622,D2400099,Crescent Drive Development,Phased development consisting of 90 multifamily units and 17 townhomes and the associated infrastructure.,0,17,0,90,0
193369,D2500120,Courtyards at Oak Grove II,"36 Single Family Detached dwellings, 31 town homes and all supporting open space and infrastructure.",36,31,0,0,0
133828,D2500088,Cornwallis Townhomes,Create 33 townhome site.,0,33,0,0,0
243274,D2400088,Cityscape 8,Construction of 8 Townhouse units with 1 open space lot.,0,8,0,0,0
180609,D2500009,Celebrity Rocky Hill Subdivision,Residential subdivision with 42 townhouse lots.,0,42,0,0,0
143364,D2400246,Aura 751,339 multifamily units and associated amenity space.,0,0,0,339,0
156682,D2400105,902 S Briggs Ave Affordable Housing,The proposed affordable housing project includes the development of two multifamily apartment buildings with 124 units.,0,0,0,124,0
238295,D2300186,901-903 Sherron Rd,Proposed 29 single-family and 33 residential townhouse,29,33,0,0,0
165281,D2500050,803 Sherron Road Townhomes,"New townhome development with 53 units and new right of way, in association with Z2300045",0,53,0,0,0
223934,D2400083,751 Excelsior Grand Residential,"208 Single-family, 186 townhouses, 8 apartments residential development. 402 Total Units_x000D_",208,186,0,8,0
236967,D2400141,1028 Lynn Road Townhouses,36 proposed townhomes.,0,36,0,0,0
